Datum,Verbrauch,Wind,Solar,Wind+Solar
2018-03-28,1552.5310000000002,448.009,46.285999999999994,494.295
2018-03-29,1483.4550000000002,344.249,95.12500000000001,439.374
2018-03-30,1194.432,349.9440000000001,145.948,495.89200000000005
2018-03-31,1197.8999999999999,291.433,74.111,365.544
2018-04-01,1083.144,370.93699999999995,71.797,442.7339999999999
2018-04-02,1084.8600000000004,243.80800000000002,151.581,395.389
2018-04-03,1431.3200000000002,414.044,142.943,556.987
2018-04-04,1456.198,355.584,138.51600000000002,494.1
2018-04-05,1529.9519999999998,638.642,98.877,737.519
2018-04-06,1438.21,336.81800000000004,216.11200000000002,552.9300000000001
2018-04-07,1234.779,431.218,212.63800000000003,643.856
2018-04-08,1088.8460000000002,160.403,197.089,357.49199999999996
2018-04-09,1389.475,167.15500000000003,145.761,312.91600000000005
2018-04-10,1472.0910000000001,423.244,155.78900000000002,579.033
2018-04-11,1493.1520000000003,413.063,150.466,563.529
2018-04-12,1495.982,477.532,142.467,619.999
2018-04-13,1446.164,312.74300000000005,85.50999999999999,398.25300000000004
2018-04-14,1197.1380000000001,242.157,156.29400000000004,398.451
2018-04-15,1071.4,65.382,142.18,207.562
2018-04-16,1370.211,81.002,101.67900000000002,182.681
2018-04-17,1386.9340000000004,99.98399999999998,195.009,294.99299999999994
2018-04-18,1393.6839999999997,110.039,213.96099999999998,324.0
2018-04-19,1416.9950000000001,206.80100000000002,214.80500000000004,421.60600000000005
2018-04-20,1406.7659999999998,183.987,212.345,396.332
2018-04-21,1180.8829999999998,87.217,208.753,295.96999999999997
2018-04-22,1092.602,185.255,197.44600000000003,382.701
2018-04-23,1437.683,392.31200000000007,139.111,531.423
2018-04-24,1461.8259999999998,376.997,142.09399999999997,519.091
2018-04-25,1481.3980000000001,525.33,138.714,664.0440000000001
2018-04-26,1479.4220000000003,453.0450000000001,137.874,590.9190000000001
2018-04-27,1398.9440000000002,166.317,206.51999999999998,372.837
2018-04-28,1194.7359999999996,167.366,178.733,346.09900000000005
